시점,구분별,영업이익실적SBHI
2015.08,의료용물질및의약품,84.8
2015.08,고무제품및플라스틱제품,69.6
2015.08,비금속광물제품,80.1
2015.08,1차금속,66.2
2015.08,금속가공제품;기계및가구제외,80
2015.08,"전자부품,컴퓨터,영상,음향및통신장비",80.6
2015.08,"의료,정밀,광학기기및시계",74.4
2015.08,전기장비,69.8
2015.08,기타기계및장비,78.6
2015.08,자동차및트레일러,72.3
2015.08,기타운송장비,73.8
2015.08,가구,63.8
2015.08,기타제품,59.5
2015.08,비제조업,77.6
2015.08,건설업,75.2
2015.08,도매 및 소매업,77.5
2015.08,운수업,75.2
2015.08,숙박 및 음식점업,81.9
2015.08,"출판,영상,방송통신 및 정보서비스업",83
2015.08,부동산업 및 임대업,81.2
2015.08,"전문,과학 및 기술서비스업",82.4
2015.08,사업시설관리 및 사업지원서비스업,79.6
2015.08,교육서비스업,79.9
2015.08,"예술,스포츠 및 여가관련서비스업",78.9
2015.08,수리 및 기타개인서비스업,76
2015.09,전산업,80.7
2015.09,식료품,95
2015.09,음료,107.1
2015.09,섬유제품;의복제외,79.4
2015.09,"의복,의복악세서리및모피제품",72.6
2015.09,"가죽,가방및신발",76
2015.09,목재및나무제품;가구제외,72
2015.09,"펄프,종이및종이제품",81.3
2015.09,인쇄및기록매체복제업,73.2
2015.09,화학물질및화학제품;의약품제외,75.3
2015.09,의료용물질및의약품,89.5
2015.09,고무제품및플라스틱제품,78.4
2015.09,비금속광물제품,81.9
2015.09,1차금속,82.5
2015.09,금속가공제품;기계및가구제외,79.2
2015.09,"전자부품,컴퓨터,영상,음향및통신장비",85.8
2015.09,"의료,정밀,광학기기및시계",82.1
2015.09,전기장비,80.5
2015.09,기타기계및장비,72.5
2015.09,자동차및트레일러,81.4
2015.09,기타운송장비,84
2015.09,가구,66.8
2015.09,기타제품,63.6
2015.09,비제조업,81
2015.09,건설업,78.4
2015.09,도매 및 소매업,80.3
2015.09,운수업,84.7
2015.09,숙박 및 음식점업,79.5
2015.09,"출판,영상,방송통신 및 정보서비스업",88
2015.09,부동산업 및 임대업,94.7
2015.09,"전문,과학 및 기술서비스업",89.2
2015.09,사업시설관리 및 사업지원서비스업,87.7
2015.09,교육서비스업,83.9
2015.09,"예술,스포츠 및 여가관련서비스업",83.4
2015.09,수리 및 기타개인서비스업,77.5
2015.1,전산업,83.3
2015.1,식료품,90.1
2015.1,음료,98.7
2015.1,섬유제품;의복제외,82.1
2015.1,"의복,의복악세서리및모피제품",68.9
2015.1,"가죽,가방및신발",72.9
2015.1,목재및나무제품;가구제외,79.4
2015.1,"펄프,종이및종이제품",77.9
2015.1,인쇄및기록매체복제업,77.8
2015.1,화학물질및화학제품;의약품제외,90.4
2015.1,의료용물질및의약품,96.6
2015.1,고무제품및플라스틱제품,83.7
2015.1,비금속광물제품,81.3
2015.1,1차금속,81.1
2015.1,금속가공제품;기계및가구제외,79.5
2015.1,"전자부품,컴퓨터,영상,음향및통신장비",89.3
2015.1,"의료,정밀,광학기기및시계",82.6
2015.1,전기장비,81.4
2015.1,기타기계및장비,75.1
2015.1,자동차및트레일러,78.3
2015.1,기타운송장비,82.6
