구분별,시점,경기실적SBHI
화학물질및화학제품;의약품제외,2016.04 월,95.4
화학물질및화학제품;의약품제외,2016.05 월,93.4
화학물질및화학제품;의약품제외,2016.06 월,94.2
화학물질및화학제품;의약품제외,2016.07 월,93.3
화학물질및화학제품;의약품제외,2016.08 월,79.5
화학물질및화학제품;의약품제외,2016.09 월,87
화학물질및화학제품;의약품제외,2016.10 월,86.2
화학물질및화학제품;의약품제외,2016.11 월,77
화학물질및화학제품;의약품제외,2016.12 월,72.3
화학물질및화학제품;의약품제외,2017.01 월,73.5
화학물질및화학제품;의약품제외,2017.02 월,76.8
화학물질및화학제품;의약품제외,2017.03 월,91.4
화학물질및화학제품;의약품제외,2017.04 월,91.4
화학물질및화학제품;의약품제외,2017.05 월,90.5
화학물질및화학제품;의약품제외,2017.06 월,93.7
화학물질및화학제품;의약품제외,2017.07 월,84.8
화학물질및화학제품;의약품제외,2017.08 월,85.2
화학물질및화학제품;의약품제외,2017.09 월,97.1
화학물질및화학제품;의약품제외,2017.10 월,81.8
화학물질및화학제품;의약품제외,2017.11 월,91.7
화학물질및화학제품;의약품제외,2017.12 월,87.8
화학물질및화학제품;의약품제외,2018.01 월,85.2
화학물질및화학제품;의약품제외,2018.02 월,77.9
화학물질및화학제품;의약품제외,2018.03 월,90
화학물질및화학제품;의약품제외,2018.04 월,90.1
화학물질및화학제품;의약품제외,2018.05 월,91.4
화학물질및화학제품;의약품제외,2018.06 월,84.5
화학물질및화학제품;의약품제외,2018.07 월,79.9
화학물질및화학제품;의약품제외,2018.08 월,78.4
화학물질및화학제품;의약품제외,2018.09 월,82.6
화학물질및화학제품;의약품제외,2018.10 월,89.8
화학물질및화학제품;의약품제외,2018.11 월,84.7
화학물질및화학제품;의약품제외,2018.12 월,82.7
화학물질및화학제품;의약품제외,2019.01 월,83.2
화학물질및화학제품;의약품제외,2019.02 월,72.9
화학물질및화학제품;의약품제외,2019.03 월,88.2
화학물질및화학제품;의약품제외,2019.04 월,95.1
화학물질및화학제품;의약품제외,2019.05 월,90.3
화학물질및화학제품;의약품제외,2019.06 월,81.2
화학물질및화학제품;의약품제외,2019.07 월,82
화학물질및화학제품;의약품제외,2019.08 월,83
화학물질및화학제품;의약품제외,2019.09 월,83.8
화학물질및화학제품;의약품제외,2019.10 월,90.1
화학물질및화학제품;의약품제외,2019.11 월,88.4
화학물질및화학제품;의약품제외,2019.12 월,88.5
화학물질및화학제품;의약품제외,2020.01 월,82.7
화학물질및화학제품;의약품제외,2020.02 월,74.9
화학물질및화학제품;의약품제외,2020.03 월,76
화학물질및화학제품;의약품제외,2020.04 월,70
화학물질및화학제품;의약품제외,2020.05 월,65.9
화학물질및화학제품;의약품제외,2020.06 월,67.3
화학물질및화학제품;의약품제외,2020.07 월,71
화학물질및화학제품;의약품제외,2020.08 월,75
화학물질및화학제품;의약품제외,2020.09 월,76.2
화학물질및화학제품;의약품제외,2020.10 월,88.1
화학물질및화학제품;의약품제외,2020.11 월,80
화학물질및화학제품;의약품제외,2020.12 월,83.9
화학물질및화학제품;의약품제외,2021.01 월,77
화학물질및화학제품;의약품제외,2021.02 월,77.9
화학물질및화학제품;의약품제외,2021.03 월,80.8
화학물질및화학제품;의약품제외,2021.04 월,81.4
화학물질및화학제품;의약품제외,2021.05 월,83.8
화학물질및화학제품;의약품제외,2021.06 월,80.6
화학물질및화학제품;의약품제외,2021.07 월,77
화학물질및화학제품;의약품제외,2021.08 월,75.6
화학물질및화학제품;의약품제외,2021.09 월,76.2
화학물질및화학제품;의약품제외,2021.10 월,82.6
화학물질및화학제품;의약품제외,2021.11 월,90.3
화학물질및화학제품;의약품제외,2021.12 월,85.6
화학물질및화학제품;의약품제외,2022.01 월,83.8
화학물질및화학제품;의약품제외,2022.02 월,84.3
화학물질및화학제품;의약품제외,2022.03 월,86.1
화학물질및화학제품;의약품제외,2022.04 월,81
의료용물질및의약품,2015.01 월,98.7
의료용물질및의약품,2015.02 월,104.9
의료용물질및의약품,2015.03 월,95.3
의료용물질및의약품,2015.04 월,108.6
의료용물질및의약품,2015.05 월,95.2
의료용물질및의약품,2015.06 월,91.5
의료용물질및의약품,2015.07 월,91.4
의료용물질및의약품,2015.08 월,98
의료용물질및의약품,2015.09 월,92.8
의료용물질및의약품,2015.10 월,101.1
의료용물질및의약품,2015.11 월,95
의료용물질및의약품,2015.12 월,94.2
의료용물질및의약품,2016.01 월,93.4
의료용물질및의약품,2016.02 월,83.8
의료용물질및의약품,2016.03 월,86.6
의료용물질및의약품,2016.04 월,102.2
의료용물질및의약품,2016.05 월,96.2
의료용물질및의약품,2016.06 월,86.2
의료용물질및의약품,2016.07 월,94.9
의료용물질및의약품,2016.08 월,92
의료용물질및의약품,2016.09 월,90.7
의료용물질및의약품,2016.10 월,92
의료용물질및의약품,2016.11 월,96.3
의료용물질및의약품,2016.12 월,94.7
의료용물질및의약품,2017.01 월,96.6
의료용물질및의약품,2017.02 월,101.4
의료용물질및의약품,2017.03 월,97.9
의료용물질및의약품,2017.04 월,89.9
의료용물질및의약품,2017.05 월,99.6
의료용물질및의약품,2017.06 월,97
의료용물질및의약품,2017.07 월,89.1
의료용물질및의약품,2017.08 월,80.8
의료용물질및의약품,2017.09 월,93.2
의료용물질및의약품,2017.10 월,94.9
의료용물질및의약품,2017.11 월,91.2
의료용물질및의약품,2017.12 월,97.9
의료용물질및의약품,2018.01 월,94.2
의료용물질및의약품,2018.02 월,93
의료용물질및의약품,2018.03 월,93.8
의료용물질및의약품,2018.04 월,102.1
의료용물질및의약품,2018.05 월,95.7
의료용물질및의약품,2018.06 월,96.7
의료용물질및의약품,2018.07 월,91.4
의료용물질및의약품,2018.08 월,88.9
의료용물질및의약품,2018.09 월,99
의료용물질및의약품,2018.10 월,104
의료용물질및의약품,2018.11 월,107.9
의료용물질및의약품,2018.12 월,100.4
의료용물질및의약품,2019.01 월,84.1
의료용물질및의약품,2019.02 월,90
의료용물질및의약품,2019.03 월,90.4
의료용물질및의약품,2019.04 월,85.5
의료용물질및의약품,2019.05 월,99.1
의료용물질및의약품,2019.06 월,88.6
의료용물질및의약품,2019.07 월,82
의료용물질및의약품,2019.08 월,77.2
의료용물질및의약품,2019.09 월,77.7
의료용물질및의약품,2019.10 월,92.3
의료용물질및의약품,2019.11 월,95.4
의료용물질및의약품,2019.12 월,83.9
의료용물질및의약품,2020.01 월,96.7
의료용물질및의약품,2020.02 월,87.5
의료용물질및의약품,2020.03 월,69.6
의료용물질및의약품,2020.04 월,63.1
의료용물질및의약품,2020.05 월,76.5
의료용물질및의약품,2020.06 월,86.4
의료용물질및의약품,2020.07 월,88.6
의료용물질및의약품,2020.08 월,85.1
의료용물질및의약품,2020.09 월,87.2
의료용물질및의약품,2020.10 월,90.9
의료용물질및의약품,2020.11 월,88.9
의료용물질및의약품,2020.12 월,75.9
의료용물질및의약품,2021.01 월,90.5
의료용물질및의약품,2021.02 월,75.9
의료용물질및의약품,2021.03 월,90.5
의료용물질및의약품,2021.04 월,97.9
의료용물질및의약품,2021.05 월,109.8
의료용물질및의약품,2021.06 월,100
의료용물질및의약품,2021.07 월,101
의료용물질및의약품,2021.08 월,92.9
의료용물질및의약품,2021.09 월,96.5
의료용물질및의약품,2021.10 월,99.5
의료용물질및의약품,2021.11 월,107.4
의료용물질및의약품,2021.12 월,97.6
의료용물질및의약품,2022.01 월,93.5
의료용물질및의약품,2022.02 월,106.5
의료용물질및의약품,2022.03 월,99.1
의료용물질및의약품,2022.04 월,95.5
고무제품및플라스틱제품,2015.01 월,73.6
고무제품및플라스틱제품,2015.02 월,70.8
고무제품및플라스틱제품,2015.03 월,84.8
고무제품및플라스틱제품,2015.04 월,88.8
고무제품및플라스틱제품,2015.05 월,88.5
고무제품및플라스틱제품,2015.06 월,79.5
고무제품및플라스틱제품,2015.07 월,78.9
고무제품및플라스틱제품,2015.08 월,77.6
고무제품및플라스틱제품,2015.09 월,86.4
고무제품및플라스틱제품,2015.10 월,87.9
고무제품및플라스틱제품,2015.11 월,87
고무제품및플라스틱제품,2015.12 월,79
고무제품및플라스틱제품,2016.01 월,75.9
고무제품및플라스틱제품,2016.02 월,64.9
고무제품및플라스틱제품,2016.03 월,89.2
고무제품및플라스틱제품,2016.04 월,91.3
고무제품및플라스틱제품,2016.05 월,85.6
고무제품및플라스틱제품,2016.06 월,85.7
고무제품및플라스틱제품,2016.07 월,82.8
고무제품및플라스틱제품,2016.08 월,90.8
고무제품및플라스틱제품,2016.09 월,89.4
고무제품및플라스틱제품,2016.10 월,83.6
고무제품및플라스틱제품,2016.11 월,79.9
고무제품및플라스틱제품,2016.12 월,80.3
고무제품및플라스틱제품,2017.01 월,76.5
고무제품및플라스틱제품,2017.02 월,81.5
고무제품및플라스틱제품,2017.03 월,87.4
고무제품및플라스틱제품,2017.04 월,96.3
고무제품및플라스틱제품,2017.05 월,84.2
고무제품및플라스틱제품,2017.06 월,84.9
고무제품및플라스틱제품,2017.07 월,88.2
고무제품및플라스틱제품,2017.08 월,80.5
고무제품및플라스틱제품,2017.09 월,91.6
고무제품및플라스틱제품,2017.10 월,83.8
고무제품및플라스틱제품,2017.11 월,82.7
고무제품및플라스틱제품,2017.12 월,76.2
고무제품및플라스틱제품,2018.01 월,78.2
고무제품및플라스틱제품,2018.02 월,75.4
고무제품및플라스틱제품,2018.03 월,89.5
고무제품및플라스틱제품,2018.04 월,81.1
고무제품및플라스틱제품,2018.05 월,81.6
고무제품및플라스틱제품,2018.06 월,81.4
고무제품및플라스틱제품,2018.07 월,74.5
고무제품및플라스틱제품,2018.08 월,79.5
고무제품및플라스틱제품,2018.09 월,80.4
고무제품및플라스틱제품,2018.10 월,76.8
고무제품및플라스틱제품,2018.11 월,80.4
고무제품및플라스틱제품,2018.12 월,73.4
고무제품및플라스틱제품,2019.01 월,77.4
고무제품및플라스틱제품,2019.02 월,61.3
고무제품및플라스틱제품,2019.03 월,83.5
고무제품및플라스틱제품,2019.04 월,79.2
고무제품및플라스틱제품,2019.05 월,81.6
고무제품및플라스틱제품,2019.06 월,80.9
고무제품및플라스틱제품,2019.07 월,81.4
고무제품및플라스틱제품,2019.08 월,77
고무제품및플라스틱제품,2019.09 월,72.4
고무제품및플라스틱제품,2019.10 월,73.1
고무제품및플라스틱제품,2019.11 월,80.3
고무제품및플라스틱제품,2019.12 월,69.6
고무제품및플라스틱제품,2020.01 월,67.1
고무제품및플라스틱제품,2020.02 월,62.3
고무제품및플라스틱제품,2020.03 월,69.9
고무제품및플라스틱제품,2020.04 월,61.6
고무제품및플라스틱제품,2020.05 월,55.1
고무제품및플라스틱제품,2020.06 월,61.8
고무제품및플라스틱제품,2020.07 월,72.4
고무제품및플라스틱제품,2020.08 월,60.2
고무제품및플라스틱제품,2020.09 월,78.6
고무제품및플라스틱제품,2020.10 월,73.1
고무제품및플라스틱제품,2020.11 월,77
고무제품및플라스틱제품,2020.12 월,71.3
고무제품및플라스틱제품,2021.01 월,69.6
고무제품및플라스틱제품,2021.02 월,66.1
고무제품및플라스틱제품,2021.03 월,82.8
고무제품및플라스틱제품,2021.04 월,70.1
고무제품및플라스틱제품,2021.05 월,74.6
고무제품및플라스틱제품,2021.06 월,79
고무제품및플라스틱제품,2021.07 월,71.5
고무제품및플라스틱제품,2021.08 월,67.5
고무제품및플라스틱제품,2021.09 월,71.1
고무제품및플라스틱제품,2021.10 월,76
고무제품및플라스틱제품,2021.11 월,78.5
고무제품및플라스틱제품,2021.12 월,73.3
고무제품및플라스틱제품,2022.01 월,78.7
고무제품및플라스틱제품,2022.02 월,74.4
고무제품및플라스틱제품,2022.03 월,75.6
고무제품및플라스틱제품,2022.04 월,75.5
비금속광물제품,2015.01 월,68.4
비금속광물제품,2015.02 월,75.2
비금속광물제품,2015.03 월,93
비금속광물제품,2015.04 월,86.5
비금속광물제품,2015.05 월,89.6
비금속광물제품,2015.06 월,81.5
비금속광물제품,2015.07 월,81.2
비금속광물제품,2015.08 월,84.6
비금속광물제품,2015.09 월,84.5
비금속광물제품,2015.10 월,83.7
비금속광물제품,2015.11 월,83.6
비금속광물제품,2015.12 월,81
비금속광물제품,2016.01 월,62.8
비금속광물제품,2016.02 월,65.3
비금속광물제품,2016.03 월,87.4
비금속광물제품,2016.04 월,95.5
비금속광물제품,2016.05 월,87.8
비금속광물제품,2016.06 월,86.9
비금속광물제품,2016.07 월,82.1
비금속광물제품,2016.08 월,74.3
비금속광물제품,2016.09 월,88
비금속광물제품,2016.10 월,84.5
비금속광물제품,2016.11 월,85
비금속광물제품,2016.12 월,82.7
비금속광물제품,2017.01 월,69.1
비금속광물제품,2017.02 월,67.3
비금속광물제품,2017.03 월,89.2
비금속광물제품,2017.04 월,96.8
비금속광물제품,2017.05 월,94.8
비금속광물제품,2017.06 월,95
비금속광물제품,2017.07 월,88.5
비금속광물제품,2017.08 월,78.1
비금속광물제품,2017.09 월,90.9
비금속광물제품,2017.10 월,85.8
비금속광물제품,2017.11 월,96.7
비금속광물제품,2017.12 월,89.4
비금속광물제품,2018.01 월,65.7
비금속광물제품,2018.02 월,67.4
비금속광물제품,2018.03 월,89.6
비금속광물제품,2018.04 월,102.2
비금속광물제품,2018.05 월,88.3
비금속광물제품,2018.06 월,93.2
비금속광물제품,2018.07 월,77.6
비금속광물제품,2018.08 월,78.4
비금속광물제품,2018.09 월,77.5
비금속광물제품,2018.10 월,80
비금속광물제품,2018.11 월,88.4
비금속광물제품,2018.12 월,75.7
비금속광물제품,2019.01 월,65.6
비금속광물제품,2019.02 월,75.5
비금속광물제품,2019.03 월,77.3
비금속광물제품,2019.04 월,89.8
비금속광물제품,2019.05 월,88.7
비금속광물제품,2019.06 월,87.3
비금속광물제품,2019.07 월,84.9
비금속광물제품,2019.08 월,72.8
비금속광물제품,2019.09 월,72.7
비금속광물제품,2019.10 월,83.2
비금속광물제품,2019.11 월,81.2
비금속광물제품,2019.12 월,79.6
비금속광물제품,2020.01 월,61.4
비금속광물제품,2020.02 월,70.5
비금속광물제품,2020.03 월,72.5
비금속광물제품,2020.04 월,70.6
비금속광물제품,2020.05 월,66.8
비금속광물제품,2020.06 월,57.6
비금속광물제품,2020.07 월,60.9
비금속광물제품,2020.08 월,58.7
비금속광물제품,2020.09 월,69.5
비금속광물제품,2020.10 월,81.8
비금속광물제품,2020.11 월,76.6
비금속광물제품,2020.12 월,74
비금속광물제품,2021.01 월,60.6
비금속광물제품,2021.02 월,73.3
비금속광물제품,2021.03 월,83.7
비금속광물제품,2021.04 월,82.2
비금속광물제품,2021.05 월,87.5
비금속광물제품,2021.06 월,73.7
비금속광물제품,2021.07 월,78.2
비금속광물제품,2021.08 월,61.8
비금속광물제품,2021.09 월,68.4
비금속광물제품,2021.10 월,79
비금속광물제품,2021.11 월,89.8
비금속광물제품,2021.12 월,81.5
비금속광물제품,2022.01 월,75.3
비금속광물제품,2022.02 월,68.9
비금속광물제품,2022.03 월,84.1
비금속광물제품,2022.04 월,89.4
1차금속,2015.01 월,69.7
1차금속,2015.02 월,58.8
1차금속,2015.03 월,74.1
1차금속,2015.04 월,75.7
1차금속,2015.05 월,73.9
1차금속,2015.06 월,73.9
1차금속,2015.07 월,73.3
1차금속,2015.08 월,70.2
1차금속,2015.09 월,84.9
1차금속,2015.10 월,87.1
1차금속,2015.11 월,80.1
1차금속,2015.12 월,81.5
1차금속,2016.01 월,75.7
1차금속,2016.02 월,67.4
1차금속,2016.03 월,89.9
1차금속,2016.04 월,92.7
1차금속,2016.05 월,84.9
1차금속,2016.06 월,78.2
1차금속,2016.07 월,82.9
1차금속,2016.08 월,83.3
1차금속,2016.09 월,87.9
1차금속,2016.10 월,85
1차금속,2016.11 월,80.7
1차금속,2016.12 월,80.3
1차금속,2017.01 월,78.9
1차금속,2017.02 월,83.1
1차금속,2017.03 월,88.6
1차금속,2017.04 월,86.2
1차금속,2017.05 월,81
1차금속,2017.06 월,82.2
1차금속,2017.07 월,81.5
1차금속,2017.08 월,71
1차금속,2017.09 월,87.7
1차금속,2017.10 월,82.2
1차금속,2017.11 월,91.5
1차금속,2017.12 월,87.6
1차금속,2018.01 월,86.2
1차금속,2018.02 월,83.7
1차금속,2018.03 월,87.7
1차금속,2018.04 월,88.9
1차금속,2018.05 월,91.2
1차금속,2018.06 월,84.3
1차금속,2018.07 월,87.2
1차금속,2018.08 월,81.6
1차금속,2018.09 월,85.8
1차금속,2018.10 월,87
1차금속,2018.11 월,81.3
1차금속,2018.12 월,80.8
1차금속,2019.01 월,86.5
1차금속,2019.02 월,77.3
1차금속,2019.03 월,83.4
1차금속,2019.04 월,86.9
1차금속,2019.05 월,87.6
1차금속,2019.06 월,75.4
1차금속,2019.07 월,73.7
1차금속,2019.08 월,66.6
1차금속,2019.09 월,77.4
1차금속,2019.10 월,78.3
1차금속,2019.11 월,85.9
1차금속,2019.12 월,80
1차금속,2020.01 월,82.4
1차금속,2020.02 월,71.7
1차금속,2020.03 월,71
1차금속,2020.04 월,60.5
1차금속,2020.05 월,57.3
1차금속,2020.06 월,59.8
1차금속,2020.07 월,71.5
1차금속,2020.08 월,68.5
1차금속,2020.09 월,79.1
1차금속,2020.10 월,83.4
1차금속,2020.11 월,82.7
1차금속,2020.12 월,77.9
1차금속,2021.01 월,79.9
1차금속,2021.02 월,78.6
1차금속,2021.03 월,82.8
1차금속,2021.04 월,88
1차금속,2021.05 월,86.6
1차금속,2021.06 월,93.7
1차금속,2021.07 월,85
1차금속,2021.08 월,79.2
1차금속,2021.09 월,81.6
1차금속,2021.10 월,81.5
1차금속,2021.11 월,82.4
1차금속,2021.12 월,82.4
1차금속,2022.01 월,78.7
1차금속,2022.02 월,81.9
1차금속,2022.03 월,84.6
1차금속,2022.04 월,87.3
금속가공제품;기계및가구제외,2015.01 월,79.7
금속가공제품;기계및가구제외,2015.02 월,70.9
금속가공제품;기계및가구제외,2015.03 월,88.4
금속가공제품;기계및가구제외,2015.04 월,82.8
금속가공제품;기계및가구제외,2015.05 월,88.6
금속가공제품;기계및가구제외,2015.06 월,81.7
금속가공제품;기계및가구제외,2015.07 월,81.8
금속가공제품;기계및가구제외,2015.08 월,79.9
금속가공제품;기계및가구제외,2015.09 월,86.3
금속가공제품;기계및가구제외,2015.10 월,86.5
금속가공제품;기계및가구제외,2015.11 월,85.4
금속가공제품;기계및가구제외,2015.12 월,80
금속가공제품;기계및가구제외,2016.01 월,74.3
금속가공제품;기계및가구제외,2016.02 월,67.5
금속가공제품;기계및가구제외,2016.03 월,84.1
금속가공제품;기계및가구제외,2016.04 월,88.3
금속가공제품;기계및가구제외,2016.05 월,90
금속가공제품;기계및가구제외,2016.06 월,87.8
금속가공제품;기계및가구제외,2016.07 월,89.8
금속가공제품;기계및가구제외,2016.08 월,84.9
금속가공제품;기계및가구제외,2016.09 월,85.1
금속가공제품;기계및가구제외,2016.10 월,88
금속가공제품;기계및가구제외,2016.11 월,89.8
금속가공제품;기계및가구제외,2016.12 월,85.3
금속가공제품;기계및가구제외,2017.01 월,75.7
금속가공제품;기계및가구제외,2017.02 월,79.6
금속가공제품;기계및가구제외,2017.03 월,87.2
금속가공제품;기계및가구제외,2017.04 월,82.4
금속가공제품;기계및가구제외,2017.05 월,79.3
금속가공제품;기계및가구제외,2017.06 월,80.9
금속가공제품;기계및가구제외,2017.07 월,80.4
금속가공제품;기계및가구제외,2017.08 월,76.1
금속가공제품;기계및가구제외,2017.09 월,84.4
금속가공제품;기계및가구제외,2017.10 월,73
금속가공제품;기계및가구제외,2017.11 월,88.5
금속가공제품;기계및가구제외,2017.12 월,79.1
금속가공제품;기계및가구제외,2018.01 월,73.7
금속가공제품;기계및가구제외,2018.02 월,73.3
금속가공제품;기계및가구제외,2018.03 월,85.2
금속가공제품;기계및가구제외,2018.04 월,89.7
금속가공제품;기계및가구제외,2018.05 월,94.6
금속가공제품;기계및가구제외,2018.06 월,89.9
금속가공제품;기계및가구제외,2018.07 월,83.6
금속가공제품;기계및가구제외,2018.08 월,84.4
금속가공제품;기계및가구제외,2018.09 월,83.4
금속가공제품;기계및가구제외,2018.10 월,83
금속가공제품;기계및가구제외,2018.11 월,85.3
금속가공제품;기계및가구제외,2018.12 월,82.5
금속가공제품;기계및가구제외,2019.01 월,73
금속가공제품;기계및가구제외,2019.02 월,65.8
금속가공제품;기계및가구제외,2019.03 월,81.8
금속가공제품;기계및가구제외,2019.04 월,88
금속가공제품;기계및가구제외,2019.05 월,83.9
금속가공제품;기계및가구제외,2019.06 월,86.9
금속가공제품;기계및가구제외,2019.07 월,83.3
금속가공제품;기계및가구제외,2019.08 월,77.4
금속가공제품;기계및가구제외,2019.09 월,73
금속가공제품;기계및가구제외,2019.10 월,87.2
금속가공제품;기계및가구제외,2019.11 월,90.1
금속가공제품;기계및가구제외,2019.12 월,80.8
금속가공제품;기계및가구제외,2020.01 월,80
금속가공제품;기계및가구제외,2020.02 월,69.8
금속가공제품;기계및가구제외,2020.03 월,69.9
금속가공제품;기계및가구제외,2020.04 월,59.3
금속가공제품;기계및가구제외,2020.05 월,52
금속가공제품;기계및가구제외,2020.06 월,66.2
금속가공제품;기계및가구제외,2020.07 월,76
금속가공제품;기계및가구제외,2020.08 월,70.1
금속가공제품;기계및가구제외,2020.09 월,76.1
금속가공제품;기계및가구제외,2020.10 월,77.1
금속가공제품;기계및가구제외,2020.11 월,85.1
금속가공제품;기계및가구제외,2020.12 월,83.5
금속가공제품;기계및가구제외,2021.01 월,70.6
금속가공제품;기계및가구제외,2021.02 월,70.1
금속가공제품;기계및가구제외,2021.03 월,81.4
금속가공제품;기계및가구제외,2021.04 월,93
금속가공제품;기계및가구제외,2021.05 월,81.3
금속가공제품;기계및가구제외,2021.06 월,81.4
금속가공제품;기계및가구제외,2021.07 월,78.1
금속가공제품;기계및가구제외,2021.08 월,71.5
금속가공제품;기계및가구제외,2021.09 월,84
금속가공제품;기계및가구제외,2021.10 월,86
금속가공제품;기계및가구제외,2021.11 월,83.9
금속가공제품;기계및가구제외,2021.12 월,81.8
금속가공제품;기계및가구제외,2022.01 월,82.8
금속가공제품;기계및가구제외,2022.02 월,77.1
금속가공제품;기계및가구제외,2022.03 월,83.9
금속가공제품;기계및가구제외,2022.04 월,82.9
"전자부품,컴퓨터,영상,음향및통신장비",2015.01 월,84
"전자부품,컴퓨터,영상,음향및통신장비",2015.02 월,86.6
"전자부품,컴퓨터,영상,음향및통신장비",2015.03 월,90.1
"전자부품,컴퓨터,영상,음향및통신장비",2015.04 월,88.7
"전자부품,컴퓨터,영상,음향및통신장비",2015.05 월,81.3
"전자부품,컴퓨터,영상,음향및통신장비",2015.06 월,93.6
"전자부품,컴퓨터,영상,음향및통신장비",2015.07 월,89.3
"전자부품,컴퓨터,영상,음향및통신장비",2015.08 월,88.6
"전자부품,컴퓨터,영상,음향및통신장비",2015.09 월,92.5
"전자부품,컴퓨터,영상,음향및통신장비",2015.10 월,89.9
"전자부품,컴퓨터,영상,음향및통신장비",2015.11 월,83.1
"전자부품,컴퓨터,영상,음향및통신장비",2015.12 월,81.5
"전자부품,컴퓨터,영상,음향및통신장비",2016.01 월,87.6
"전자부품,컴퓨터,영상,음향및통신장비",2016.02 월,80.7
"전자부품,컴퓨터,영상,음향및통신장비",2016.03 월,83.5
"전자부품,컴퓨터,영상,음향및통신장비",2016.04 월,90.6
"전자부품,컴퓨터,영상,음향및통신장비",2016.05 월,89.6
"전자부품,컴퓨터,영상,음향및통신장비",2016.06 월,85.8
"전자부품,컴퓨터,영상,음향및통신장비",2016.07 월,94.4
"전자부품,컴퓨터,영상,음향및통신장비",2016.08 월,87.1
"전자부품,컴퓨터,영상,음향및통신장비",2016.09 월,94
"전자부품,컴퓨터,영상,음향및통신장비",2016.10 월,90.9
"전자부품,컴퓨터,영상,음향및통신장비",2016.11 월,85.2
"전자부품,컴퓨터,영상,음향및통신장비",2016.12 월,84.6
"전자부품,컴퓨터,영상,음향및통신장비",2017.01 월,82.5
"전자부품,컴퓨터,영상,음향및통신장비",2017.02 월,84.7
"전자부품,컴퓨터,영상,음향및통신장비",2017.03 월,96.9
"전자부품,컴퓨터,영상,음향및통신장비",2017.04 월,95.1
"전자부품,컴퓨터,영상,음향및통신장비",2017.05 월,90.4
"전자부품,컴퓨터,영상,음향및통신장비",2017.06 월,98.3
"전자부품,컴퓨터,영상,음향및통신장비",2017.07 월,94.3
"전자부품,컴퓨터,영상,음향및통신장비",2017.08 월,85.2
"전자부품,컴퓨터,영상,음향및통신장비",2017.09 월,90.2
"전자부품,컴퓨터,영상,음향및통신장비",2017.10 월,81.2
"전자부품,컴퓨터,영상,음향및통신장비",2017.11 월,89.3
"전자부품,컴퓨터,영상,음향및통신장비",2017.12 월,89.9
"전자부품,컴퓨터,영상,음향및통신장비",2018.01 월,85.3
"전자부품,컴퓨터,영상,음향및통신장비",2018.02 월,77.8
"전자부품,컴퓨터,영상,음향및통신장비",2018.03 월,83.4
"전자부품,컴퓨터,영상,음향및통신장비",2018.04 월,91.8
"전자부품,컴퓨터,영상,음향및통신장비",2018.05 월,90.8
"전자부품,컴퓨터,영상,음향및통신장비",2018.06 월,86.9
"전자부품,컴퓨터,영상,음향및통신장비",2018.07 월,91.8
"전자부품,컴퓨터,영상,음향및통신장비",2018.08 월,85.2
"전자부품,컴퓨터,영상,음향및통신장비",2018.09 월,92.5
"전자부품,컴퓨터,영상,음향및통신장비",2018.10 월,84.1
"전자부품,컴퓨터,영상,음향및통신장비",2018.11 월,91.6
"전자부품,컴퓨터,영상,음향및통신장비",2018.12 월,89.2
"전자부품,컴퓨터,영상,음향및통신장비",2019.01 월,92.4
"전자부품,컴퓨터,영상,음향및통신장비",2019.02 월,92.1
"전자부품,컴퓨터,영상,음향및통신장비",2019.03 월,91.2
"전자부품,컴퓨터,영상,음향및통신장비",2019.04 월,97.5
"전자부품,컴퓨터,영상,음향및통신장비",2019.05 월,96.8
"전자부품,컴퓨터,영상,음향및통신장비",2019.06 월,99.5
"전자부품,컴퓨터,영상,음향및통신장비",2019.07 월,88.7
"전자부품,컴퓨터,영상,음향및통신장비",2019.08 월,87.4
"전자부품,컴퓨터,영상,음향및통신장비",2019.09 월,90.2
"전자부품,컴퓨터,영상,음향및통신장비",2019.10 월,84.1
"전자부품,컴퓨터,영상,음향및통신장비",2019.11 월,87.4
"전자부품,컴퓨터,영상,음향및통신장비",2019.12 월,91.8
"전자부품,컴퓨터,영상,음향및통신장비",2020.01 월,93.5
"전자부품,컴퓨터,영상,음향및통신장비",2020.02 월,78.4
"전자부품,컴퓨터,영상,음향및통신장비",2020.03 월,83.6
"전자부품,컴퓨터,영상,음향및통신장비",2020.04 월,72.5
"전자부품,컴퓨터,영상,음향및통신장비",2020.05 월,64.1
"전자부품,컴퓨터,영상,음향및통신장비",2020.06 월,74.7
"전자부품,컴퓨터,영상,음향및통신장비",2020.07 월,78
"전자부품,컴퓨터,영상,음향및통신장비",2020.08 월,72.4
"전자부품,컴퓨터,영상,음향및통신장비",2020.09 월,80.7
"전자부품,컴퓨터,영상,음향및통신장비",2020.10 월,83
"전자부품,컴퓨터,영상,음향및통신장비",2020.11 월,84.1
"전자부품,컴퓨터,영상,음향및통신장비",2020.12 월,81.8
"전자부품,컴퓨터,영상,음향및통신장비",2021.01 월,88.2
"전자부품,컴퓨터,영상,음향및통신장비",2021.02 월,75.9
"전자부품,컴퓨터,영상,음향및통신장비",2021.03 월,91.6
"전자부품,컴퓨터,영상,음향및통신장비",2021.04 월,94.5
"전자부품,컴퓨터,영상,음향및통신장비",2021.05 월,92.5
"전자부품,컴퓨터,영상,음향및통신장비",2021.06 월,90.3
"전자부품,컴퓨터,영상,음향및통신장비",2021.07 월,88.7
"전자부품,컴퓨터,영상,음향및통신장비",2021.08 월,81
