구분별,시점,경기실적SBHI
일반기업,2017.05 월,83
일반기업,2017.06 월,82.7
일반기업,2017.07 월,82.4
일반기업,2017.08 월,80.3
일반기업,2017.09 월,88.3
일반기업,2017.10 월,78.7
일반기업,2017.11 월,85.6
일반기업,2017.12 월,84.1
일반기업,2018.01 월,76.2
일반기업,2018.02 월,74.5
일반기업,2018.03 월,86
일반기업,2018.04 월,85.6
일반기업,2018.05 월,86.1
일반기업,2018.06 월,84.4
일반기업,2018.07 월,80.2
일반기업,2018.08 월,79.4
일반기업,2018.09 월,81.1
일반기업,2018.10 월,80.2
일반기업,2018.11 월,79.9
일반기업,2018.12 월,79.7
일반기업,2019.01 월,75.3
일반기업,2019.02 월,68.5
일반기업,2019.03 월,80.6
일반기업,2019.04 월,81.8
일반기업,2019.05 월,81.7
일반기업,2019.06 월,79.1
일반기업,2019.07 월,77.4
일반기업,2019.08 월,74.1
일반기업,2019.09 월,79.4
일반기업,2019.10 월,80.2
일반기업,2019.11 월,80
일반기업,2019.12 월,79.5
일반기업,2020.01 월,76
일반기업,2020.02 월,66.1
일반기업,2020.03 월,55.3
일반기업,2020.04 월,55
일반기업,2020.05 월,59
일반기업,2020.06 월,64.7
일반기업,2020.07 월,64.8
일반기업,2020.08 월,60.5
일반기업,2020.09 월,64.4
일반기업,2020.10 월,70.4
일반기업,2020.11 월,71
일반기업,2020.12 월,65.1
일반기업,2021.01 월,64.9
일반기업,2021.02 월,65.2
일반기업,2021.03 월,74.3
일반기업,2021.04 월,79.4
일반기업,2021.05 월,78.1
일반기업,2021.06 월,78.7
일반기업,2021.07 월,73.8
일반기업,2021.08 월,70.4
일반기업,2021.09 월,76.3
일반기업,2021.10 월,78.3
일반기업,2021.11 월,82.2
일반기업,2021.12 월,79.7
일반기업,2022.01 월,78.4
일반기업,2022.02 월,73.3
일반기업,2022.03 월,76.7
일반기업,2022.04 월,83.2
혁신형기업,2015.01 월,83.1
혁신형기업,2015.02 월,75.8
혁신형기업,2015.03 월,86.9
혁신형기업,2015.04 월,86.2
혁신형기업,2015.05 월,86.7
혁신형기업,2015.06 월,81.2
혁신형기업,2015.07 월,84.1
혁신형기업,2015.08 월,76.8
혁신형기업,2015.09 월,84.1
혁신형기업,2015.10 월,87.9
혁신형기업,2015.11 월,80.5
혁신형기업,2015.12 월,82.4
혁신형기업,2016.01 월,74.8
혁신형기업,2016.02 월,70.2
혁신형기업,2016.03 월,93.2
혁신형기업,2016.04 월,92.6
혁신형기업,2016.05 월,89.5
혁신형기업,2016.06 월,90.9
혁신형기업,2016.07 월,86.8
혁신형기업,2016.08 월,84.2
혁신형기업,2016.09 월,94.1
혁신형기업,2016.10 월,88.8
혁신형기업,2016.11 월,81.8
혁신형기업,2016.12 월,84.6
혁신형기업,2017.01 월,77.9
혁신형기업,2017.02 월,80.9
혁신형기업,2017.03 월,93.1
혁신형기업,2017.04 월,91.3
혁신형기업,2017.05 월,85.5
혁신형기업,2017.06 월,87.2
혁신형기업,2017.07 월,88.9
혁신형기업,2017.08 월,80.8
혁신형기업,2017.09 월,96.7
혁신형기업,2017.10 월,88.7
혁신형기업,2017.11 월,92.5
혁신형기업,2017.12 월,91.6
혁신형기업,2018.01 월,88.3
혁신형기업,2018.02 월,78.6
혁신형기업,2018.03 월,84.2
혁신형기업,2018.04 월,92.1
혁신형기업,2018.05 월,87
혁신형기업,2018.06 월,89.9
혁신형기업,2018.07 월,85
혁신형기업,2018.08 월,81.2
혁신형기업,2018.09 월,84
혁신형기업,2018.10 월,82.7
혁신형기업,2018.11 월,87.9
혁신형기업,2018.12 월,85.2
혁신형기업,2019.01 월,82.7
혁신형기업,2019.02 월,72
혁신형기업,2019.03 월,84
혁신형기업,2019.04 월,82.5
혁신형기업,2019.05 월,82.3
혁신형기업,2019.06 월,79.8
혁신형기업,2019.07 월,79.3
혁신형기업,2019.08 월,76.7
혁신형기업,2019.09 월,73.6
혁신형기업,2019.10 월,84.5
혁신형기업,2019.11 월,88.5
혁신형기업,2019.12 월,80.5
혁신형기업,2020.01 월,80.4
혁신형기업,2020.02 월,66.3
혁신형기업,2020.03 월,67.2
혁신형기업,2020.04 월,59.4
혁신형기업,2020.05 월,57.9
