시점,구분별,경기실적SBHI,내수판매SBHI,영업이익실적 SBHI,자금사정SBHI,고용수준실적SBHI,선행종합지수,경제심리지수,KOSPI
2015.02,출판영상방송통신 및 정보서비스업,85.3,86.0,83.6,82.3,91.7,98.2,102.3,1985.8
2015.02,부동산업 및 임대업,87.6,85.8,89.8,89.5,98.0,98.2,102.3,1985.8
2015.02,전문과학 및 기술서비스업,86.7,86.2,85.4,85.4,92.2,98.2,102.3,1985.8
2015.02,사업시설관리 및 사업지원서비스업,81.8,83.7,81.3,77.6,96.4,98.2,102.3,1985.8
2015.02,교육서비스업,81.9,85.1,83.5,84.8,95.1,98.2,102.3,1985.8
2015.02,예술스포츠 및 여가관련서비스업,76.0,78.1,79.3,71.1,96.4,98.2,102.3,1985.8
2015.02,수리 및 기타개인서비스업,75.9,77.1,78.2,73.8,86.6,98.2,102.3,1985.8
2015.03,전산업,83.4,82.7,78.7,80.8,95.3,98.7,100.7,2041.03
2015.03,식료품,84.1,83.8,81.0,79.5,95.5,98.7,100.7,2041.03
2015.03,음료,103.7,94.9,98.9,98.6,98.6,98.7,100.7,2041.03
2015.03,섬유제품 의복제외,76.4,75.1,68.7,70.9,105.6,98.7,100.7,2041.03
2015.03,의복의복악세서리및모피제품,69.5,70.7,66.8,68.7,98.0,98.7,100.7,2041.03
2015.03,가죽가방및신발,86.1,87.5,84.0,78.1,108.2,98.7,100.7,2041.03
2015.03,목재및나무제품 가구제외,77.5,79.5,77.6,85.6,94.2,98.7,100.7,2041.03
2015.03,펄프종이및종이제품,77.9,75.6,74.9,79.4,95.5,98.7,100.7,2041.03
2015.03,인쇄및기록매체복제업,80.5,84.8,79.4,80.9,100.9,98.7,100.7,2041.03
2015.03,화학물질및화학제품 의약품제외,93.2,85.3,,84.8,92.0,98.7,100.7,2041.03
2015.03,의료용물질및의약품,95.3,100.9,100.3,100.9,96.9,98.7,100.7,2041.03
2015.03,고무제품및플라스틱제품,84.8,81.3,78.5,80.2,96.4,98.7,100.7,2041.03
2015.03,비금속광물제품,93.0,95.3,91.5,90.2,98.4,98.7,100.7,2041.03
2015.03,1차금속,74.1,78.4,71.5,78.7,99.8,98.7,100.7,2041.03
2015.03,금속가공제품 기계및가구제외,88.4,86.2,85.0,83.3,93.5,98.7,100.7,2041.03
2015.03,전자부품컴퓨터영상음향및통신장비,90.1,90.6,87.4,88.1,95.7,98.7,100.7,2041.03
2015.03,의료정밀광학기기및시계,88.4,81.9,80.5,81.3,94.4,98.7,100.7,2041.03
2015.03,전기장비,80.3,84.5,82.6,79.0,90.2,98.7,100.7,2041.03
2015.03,기타기계및장비,81.3,76.7,73.6,82.1,94.6,98.7,100.7,2041.03
2015.03,자동차및트레일러,90.2,90.2,83.2,87.6,95.2,98.7,100.7,2041.03
2015.03,기타운송장비,94.6,96.4,88.2,93.5,86.2,98.7,100.7,2041.03
2015.03,가구,78.3,77.8,78.3,80.0,87.0,98.7,100.7,2041.03
2015.03,기타제품,84.5,84.6,81.3,82.9,93.9,98.7,100.7,2041.03
2015.03,비제조업,82.6,82.1,77.7,79.8,95.3,98.7,100.7,2041.03
2015.03,건설업,75.5,74.4,70.0,68.6,97.1,98.7,100.7,2041.03
2015.03,도매 및 소매업,82.0,81.2,76.3,81.4,94.5,98.7,100.7,2041.03
2015.03,운수업,87.3,87.5,87.9,86.5,96.5,98.7,100.7,2041.03
2015.03,숙박 및 음식점업,92.9,95.0,85.6,88.9,87.8,98.7,100.7,2041.03
2015.03,출판영상방송통신 및 정보서비스업,93.1,93.1,88.7,88.9,94.9,98.7,100.7,2041.03
2015.03,부동산업 및 임대업,99.4,98.9,98.9,97.0,102.5,98.7,100.7,2041.03
2015.03,전문과학 및 기술서비스업,91.8,92.9,87.7,87.2,95.1,98.7,100.7,2041.03
2015.03,사업시설관리 및 사업지원서비스업,90.6,92.5,88.4,84.8,95.5,98.7,100.7,2041.03
2015.03,교육서비스업,73.5,81.5,78.1,72.8,98.0,98.7,100.7,2041.03
2015.03,예술스포츠 및 여가관련서비스업,101.6,99.0,95.3,92.9,98.9,98.7,100.7,2041.03
2015.03,수리 및 기타개인서비스업,79.8,78.0,75.4,73.3,92.8,98.7,100.7,2041.03
2015.04,전산업,83.6,83.4,80.4,81.1,94.9,99.2,103.0,2127.17
2015.04,식료품,86.2,85.8,80.7,82.2,94.0,99.2,103.0,2127.17
2015.04,음료,110.1,110.7,108.0,107.2,99.4,99.2,103.0,2127.17
2015.04,섬유제품 의복제외,83.1,77.9,74.1,72.7,99.7,99.2,103.0,2127.17
2015.04,의복의복악세서리및모피제품,75.8,73.6,76.2,75.1,95.4,99.2,103.0,2127.17
2015.04,가죽가방및신발,89.8,90.7,92.3,82.2,101.3,99.2,103.0,2127.17
2015.04,목재및나무제품 가구제외,78.7,73.7,75.6,84.2,93.3,99.2,103.0,2127.17
2015.04,펄프종이및종이제품,79.5,77.1,74.7,79.4,97.8,99.2,103.0,2127.17
2015.04,인쇄및기록매체복제업,77.2,71.3,71.1,74.5,109.4,99.2,103.0,2127.17
2015.04,화학물질및화학제품 의약품제외,93.8,90.9,,89.6,90.3,99.2,103.0,2127.17
2015.04,의료용물질및의약품,108.6,112.0,113.2,100.1,97.1,99.2,103.0,2127.17
2015.04,고무제품및플라스틱제품,88.8,88.2,84.8,84.9,93.8,99.2,103.0,2127.17
2015.04,비금속광물제품,86.5,88.7,84.1,87.6,100.2,99.2,103.0,2127.17
